SampleName,GMHI,Microbiome,SampleNum,Rep
S1-10-1,0.789323917,S1,10,1
S9-10-2,1.617184638,S9,10,2
S14-10-2,-1.451391171,S14,10,2
S3-10-2,2.740285171,S3,10,2
S3-10-3,2.658834655,S3,10,3
S11-10-1,1.967191529,S11,10,1
S9-10-3,2.583469831,S9,10,3
S11-10-3,2.320779655,S11,10,3
S5-10-2,-1.537230539,S5,10,2
S7-10-2,1.659092319,S7,10,2
S11-10-2,1.1850169,S11,10,2
S16-10-1,3.772406584,S16,10,1
S13-10-3,1.958008622,S13,10,3
S15-10-3,3.621019826,S15,10,3
S1-10-2,1.639344357,S1,10,2
S1-10-3,1.501018674,S1,10,3
S15-10-2,3.569788837,S15,10,2
S2-10-3,1.443472226,S2,10,3
S6-10-3,0.502763315,S6,10,3
S2-10-1,2.043976792,S2,10,1
S2-10-2,2.490668167,S2,10,2
S4-10-2,2.597032288,S4,10,2
S4-10-3,2.801278831,S4,10,3
S10-10-1,1.419340714,S10,10,1
S4-10-1,1.03185133,S4,10,1
S6-10-1,0,S6,10,1
S6-10-2,-0.520490259,S6,10,2
S9-10-1,1.847201011,S9,10,1
S15-10-1,3.296395682,S15,10,1
S8-10-2,3.342288812,S8,10,2
S5-10-1,-1.980996882,S5,10,1
S12-10-3,1.263629088,S12,10,3
S8-10-1,3.145607372,S8,10,1
S13-10-1,2.420076326,S13,10,1
S13-10-2,2.098146459,S13,10,2
S7-10-1,2.227482669,S7,10,1
S16-10-3,3.779658634,S16,10,3
S7-10-3,1.506907347,S7,10,3
S3-10-1,2.623802293,S3,10,1
S12-10-2,1.79994749,S12,10,2
S10-10-3,1.951729296,S10,10,3
S14-10-1,1.484184707,S14,10,1
S10-10-2,0.898782624,S10,10,2
S12-10-1,2.343920913,S12,10,1
S8-11-3,4.644998775,S8,11,3
S2-11-1,3.290827287,S2,11,1
S14-11-1,1.124797719,S14,11,1
S3-11-1,3.912646672,S3,11,1
S3-11-2,3.806863411,S3,11,2
S9-11-2,1.980288903,S9,11,2
S11-11-2,1.840733651,S11,11,2
S2-11-2,1.824707018,S2,11,2
S11-11-1,1.863487334,S11,11,1
S13-11-1,3.922763658,S13,11,1
S16-11-1,3.850951751,S16,11,1
S8-11-2,4.637003835,S8,11,2
S1-11-1,2.104562902,S1,11,1
S1-11-2,3.176357036,S1,11,2
S15-11-1,3.906611131,S15,11,1
S9-11-3,1.82981344,S9,11,3
S8-11-1,4.659570832,S8,11,1
S15-11-3,3.876248614,S15,11,3
S3-11-3,2.721018582,S3,11,3
S12-11-3,2.200049498,S12,11,3
S14-11-2,-0.482109131,S14,11,2
S14-11-3,-1.397819688,S14,11,3
S10-11-1,3.507360988,S10,11,1
S10-11-2,2.568567275,S10,11,2
S7-11-1,1.39284719,S7,11,1
S7-11-2,2.665680802,S7,11,2
S9-11-1,2.779498125,S9,11,1
S12-11-1,2.875324761,S12,11,1
S12-11-2,2.789062666,S12,11,2
S15-11-2,3.581746106,S15,11,2
S6-11-3,-1.36670902,S6,11,3
S6-11-2,-0.994529619,S6,11,2
S5-11-3,-2.23461062,S5,11,3
S7-11-3,1.522940218,S7,11,3
S11-11-3,2.072388383,S11,11,3
S5-11-2,-2.536326866,S5,11,2
S16-11-3,3.10949445,S16,11,3
S5-11-1,-2.583384712,S5,11,1
S13-11-2,3.978065716,S13,11,2
S16-11-2,4.076587332,S16,11,2
S2-11-3,1.941393019,S2,11,3
S4-11-2,2.624385061,S4,11,2
S1-11-3,1.844031319,S1,11,3
S6-11-1,-1.403340359,S6,11,1
S13-11-3,3.558713319,S13,11,3
S4-11-3,3.728034323,S4,11,3
S4-11-1,3.596931503,S4,11,1
S10-11-3,2.438668466,S10,11,3
S6-12-3,-1.417370766,S6,12,3
S8-12-1,4.088737584,S8,12,1
S14-12-2,0.353821707,S14,12,2
S3-12-2,3.410658802,S3,12,2
S9-12-3,1.80535008,S9,12,3
S16-12-1,3.978973978,S16,12,1
S11-12-3,1.505226909,S11,12,3
S8-12-2,4.127068283,S8,12,2
S1-12-1,2.023084408,S1,12,1
S6-12-2,-1.511466234,S6,12,2
S7-12-1,1.531464368,S7,12,1
S7-12-3,1.143271239,S7,12,3
S15-12-3,3.601093684,S15,12,3
S14-12-1,0.636092102,S14,12,1
S1-12-3,1.08648791,S1,12,3
S15-12-2,3.900384738,S15,12,2
S14-12-3,0,S14,12,3
S6-12-1,-1.537912736,S6,12,1
S2-12-1,1.291746837,S2,12,1
S2-12-2,2.891388973,S2,12,2
S4-12-2,2.068613677,S4,12,2
S9-12-1,1.750034446,S9,12,1
S9-12-2,1.905762211,S9,12,2
S4-12-1,2.642993931,S4,12,1
S12-12-2,1.721318193,S12,12,2
S12-12-3,2.556887911,S12,12,3
S8-12-3,4.059626911,S8,12,3
S15-12-1,3.898688408,S15,12,1
S11-12-2,2.047704914,S11,12,2
S5-12-1,-1.933065865,S5,12,1
S5-12-2,-2.228538911,S5,12,2
S11-12-1,1.502514736,S11,12,1
S13-12-1,2.349516656,S13,12,1
S13-12-2,2.880561975,S13,12,2
S16-12-2,3.826878635,S16,12,2
S16-12-3,2.423861621,S16,12,3
S12-12-1,1.735619405,S12,12,1
S3-12-1,2.300765566,S3,12,1
S10-12-2,2.05798617,S10,12,2
S13-12-3,2.836375469,S13,12,3
S5-12-3,-2.270652199,S5,12,3
S3-12-3,3.278929885,S3,12,3
S4-12-3,2.878188232,S4,12,3
S10-12-3,3.200075979,S10,12,3
S10-12-1,1.573421854,S10,12,1
S2-12-3,0.928188846,S2,12,3
S1-12-2,1.171967148,S1,12,2
S6-13-1,-1.421680673,S6,13,1
S8-13-3,4.30705538,S8,13,3
S6-13-2,0,S6,13,2
S1-13-1,1.347714698,S1,13,1
S9-13-1,1.880833489,S9,13,1
S7-13-1,1.124272631,S7,13,1
S9-13-3,2.884275598,S9,13,3
S8-13-2,3.524124899,S8,13,2
S15-13-2,3.024114422,S15,13,2
S9-13-2,1.916371473,S9,13,2
S3-13-3,3.528701821,S3,13,3
S8-13-1,4.324387171,S8,13,1
S14-13-2,0,S14,13,2
S15-13-3,2.708546352,S15,13,3
S10-13-1,3.355978981,S10,13,1
S7-13-2,1.20543818,S7,13,2
S7-13-3,1.596236915,S7,13,3
S4-13-3,2.928480537,S4,13,3
S16-13-2,4.027759183,S16,13,2
S16-13-3,2.966861468,S16,13,3
S15-13-1,3.837732084,S15,13,1
S6-13-3,-0.839820687,S6,13,3
S12-13-3,2.633490175,S12,13,3
S14-13-3,-0.484510244,S14,13,3
S14-13-1,-0.103334664,S14,13,1
S5-13-1,-2.253802018,S5,13,1
S5-13-2,-2.452839233,S5,13,2
S13-13-3,2.628951803,S13,13,3
S5-13-3,-2.493118055,S5,13,3
S4-13-2,1.96541532,S4,13,2
S16-13-1,3.073713036,S16,13,1
S3-13-2,3.309151563,S3,13,2
S10-13-3,3.107746402,S10,13,3
S12-13-1,2.521338512,S12,13,1
S1-13-3,2.646898264,S1,13,3
S2-13-2,2.068629756,S2,13,2
S12-13-2,2.424986637,S12,13,2
S11-13-1,1.545153122,S11,13,1
S2-13-1,2.998567424,S2,13,1
S13-13-2,2.638124895,S13,13,2
S11-13-2,1.357269516,S11,13,2
S2-13-3,1.954078641,S2,13,3
S13-13-1,2.640288912,S13,13,1
S1-13-2,2.006971047,S1,13,2
S4-13-1,1.65779504,S4,13,1
S10-13-2,1.679635251,S10,13,2
S11-13-3,1.463392939,S11,13,3
S3-13-1,2.320337436,S3,13,1
S8-14-1,3.394406618,S8,14,1
S14-14-1,1.232744849,S14,14,1
S7-14-3,0.792420968,S7,14,3
S8-14-2,3.25373395,S8,14,2
S4-14-2,2.122967073,S4,14,2
S5-14-1,-1.329596577,S5,14,1
S6-14-3,-0.774915686,S6,14,3
S14-14-2,-1.358621704,S14,14,2
S6-14-2,-0.292639453,S6,14,2
S7-14-2,1.893339815,S7,14,2
S2-14-1,2.288808331,S2,14,1
S10-14-2,1.62407283,S10,14,2
S9-14-1,2.829838476,S9,14,1
S9-14-3,2.606980255,S9,14,3
S10-14-1,2.392234786,S10,14,1
S12-14-1,1.830434795,S12,14,1
S12-14-2,1.304605164,S12,14,2
S8-14-3,3.528127433,S8,14,3
S6-14-1,-1.162688641,S6,14,1
S11-14-1,2.002707898,S11,14,1
S11-14-2,2.767016909,S11,14,2
S5-14-2,-2.161920645,S5,14,2
S4-14-1,2.524392138,S4,14,1
S14-14-3,-1.012189636,S14,14,3
S13-14-1,1.238360894,S13,14,1
S4-14-3,2.481925308,S4,14,3
S9-14-2,2.540638337,S9,14,2
S1-14-1,1.269069373,S1,14,1
S1-14-2,0.957389271,S1,14,2
S3-14-1,1.835003652,S3,14,1
S15-14-1,3.470124365,S15,14,1
S12-14-3,2.121658229,S12,14,3
S15-14-3,2.884796552,S15,14,3
S16-14-2,3.529228549,S16,14,2
S13-14-2,1.881319411,S13,14,2
S5-14-3,-2.219909078,S5,14,3
S7-14-1,0.956553628,S7,14,1
S3-14-3,3.100480653,S3,14,3
S16-14-3,3.513605656,S16,14,3
S2-14-2,2.001198925,S2,14,2
S13-14-3,2.581447044,S13,14,3
S2-14-3,2.606705587,S2,14,3
S1-14-3,1.037157344,S1,14,3
S15-14-2,2.174716606,S15,14,2
S10-14-3,2.657016769,S10,14,3
S11-14-3,2.354804321,S11,14,3
S3-14-2,3.03945141,S3,14,2
S16-14-1,2.750941717,S16,14,1
S7-15-1,0.857258489,S7,15,1
S6-15-1,-1.457825413,S6,15,1
S12-15-3,2.111646874,S12,15,3
S15-15-2,4.017569602,S15,15,2
S14-15-2,0.301397946,S14,15,2
S8-15-2,4.302541631,S8,15,2
S8-15-3,4.316260057,S8,15,3
S2-15-3,1.923675465,S2,15,3
S10-15-3,1.279577586,S10,15,3
S14-15-1,0.150973125,S14,15,1
S15-15-1,2.512928079,S15,15,1
S9-15-1,1.77011207,S9,15,1
S12-15-2,2.02124757,S12,15,2
S3-15-3,3.371242133,S3,15,3
S2-15-2,1.977119334,S2,15,2
S6-15-3,-0.621662972,S6,15,3
S5-15-2,-2.49779952,S5,15,2
S5-15-3,-2.224151163,S5,15,3
S7-15-3,0.931673987,S7,15,3
S5-15-1,-2.496759394,S5,15,1
S4-15-3,3.048100988,S4,15,3
S16-15-1,3.234993929,S16,15,1
S9-15-2,1.577328076,S9,15,2
S4-15-2,3.258284577,S4,15,2
S3-15-1,3.624105151,S3,15,1
S3-15-2,2.302156351,S3,15,2
S1-15-3,3.122997184,S1,15,3
S8-15-1,4.279856733,S8,15,1
S2-15-1,3.132717687,S2,15,1
S11-15-1,1.687451649,S11,15,1
S11-15-2,1.280175029,S11,15,2
S11-15-3,1.515738012,S11,15,3
S7-15-2,1.452652486,S7,15,2
S13-15-1,2.514359471,S13,15,1
S13-15-2,2.34997543,S13,15,2
S10-15-2,2.147203337,S10,15,2
S6-15-2,-0.72291726,S6,15,2
S1-15-1,2.231108947,S1,15,1
S12-15-1,1.172644355,S12,15,1
S1-15-2,1.822233599,S1,15,2
S16-15-3,2.813223533,S16,15,3
S4-15-1,2.011431497,S4,15,1
S15-15-3,2.6824773,S15,15,3
S14-15-3,1.260214262,S14,15,3
S9-15-3,1.840586906,S9,15,3
S10-15-1,2.03157807,S10,15,1
S16-15-2,3.967093109,S16,15,2
S13-15-3,2.955182353,S13,15,3
S6-16-3,-0.637384193,S6,16,3
S5-16-1,-2.187910761,S5,16,1
S8-16-2,4.189348251,S8,16,2
S4-16-2,3.797133501,S4,16,2
S4-16-1,2.772304948,S4,16,1
S6-16-2,-0.683338446,S6,16,2
S12-16-1,1.329308909,S12,16,1
S8-16-1,4.224878458,S8,16,1
S9-16-3,3.473504598,S9,16,3
S12-16-3,1.970882221,S12,16,3
S11-16-1,2.102188383,S11,16,1
S2-16-1,2.624259968,S2,16,1
S15-16-3,1.671938744,S15,16,3
S14-16-2,-0.648443162,S14,16,2
S10-16-1,3.874508441,S10,16,1
S8-16-3,4.122698528,S8,16,3
S14-16-1,-0.102358432,S14,16,1
S6-16-1,-0.596499382,S6,16,1
S1-16-1,1.870236073,S1,16,1
S3-16-1,2.716275483,S3,16,1
S15-16-2,3.101952863,S15,16,2
S12-16-2,1.815179663,S12,16,2
S3-16-3,4.024275999,S3,16,3
S1-16-3,2.127409681,S1,16,3
S5-16-2,-2.153499643,S5,16,2
S5-16-3,-2.172313219,S5,16,3
S7-16-1,2.851729923,S7,16,1
S7-16-2,3.134177501,S7,16,2
S9-16-1,3.089533606,S9,16,1
S9-16-2,3.027734254,S9,16,2
S13-16-2,2.544396562,S13,16,2
S13-16-3,1.883974221,S13,16,3
S16-16-3,3.394808539,S16,16,3
S2-16-2,2.791762053,S2,16,2
